SUMLEV,STATE,COUNTY,REGION,DIVISION,ctyname,STNAME,CENSUS2000POP,ESTIMATESBASE2000,POPESTIMATE2000,POPESTIMATE2001,POPESTIMATE2002,POPESTIMATE2003,POPESTIMATE2004,BIRTHS2000,BIRTHS2001,BIRTHS2002,BIRTHS2003,BIRTHS2004,DEATHS2000,DEATHS2001,DEATHS2002,DEATHS2003,DEATHS2004,INTERNATIONALMIG2000,INTERNATIONALMIG2001,INTERNATIONALMIG2002,INTERNATIONALMIG2003,INTERNATIONALMIG2004,INTERNALMIG2000,INTERNALMIG2001,INTERNALMIG2002,INTERNALMIG2003,INTERNALMIG2004,RESIDUAL2000,RESIDUAL2001,RESIDUAL2002,RESIDUAL2003,RESIDUAL2004,CENSUS2000GQPOP,GQESTIMATESBASE2000,GQPOPESTIMATES2000,GQPOPESTIMATES2001,GQPOPESTIMATES2002,GQPOPESTIMATES2003,GQPOPESTIMATES2004
40,49,0,4,8,Utah,Utah,2233169,2233198,2243164,2281161,2319743,2352119,2389039,12182,47053,47577,48836,48565,2994,12471,12985,13241,13658,2608,10199,9994,9696,9679,-1875,-9395,-8242,-12610,-7734,45,2611,2238,-305,68,40480,40480,40480,41377,42732,41077,39567
50,49,1,4,8,Beaver County,Utah,6005,6005,6018,6024,6100,6075,6077,33,113,120,117,103,20,48,52,60,64,0,13,13,13,13,2,-72,-4,-94,-51,-2,0,-1,-1,1,202,202,202,202,202,202,202
50,49,3,4,8,Box Elder County,Utah,42745,42745,42884,43377,44036,44599,44810,197,773,792,797,796,53,277,308,304,331,9,57,56,53,54,-17,-49,126,23,-309,3,-11,-7,-6,1,371,371,371,371,371,371,371
50,49,5,4,8,Cache County,Utah,91391,91391,91681,93643,95845,96471,97467,562,2161,2222,2277,2192,112,424,399,432,445,113,439,432,409,410,-271,-1238,-915,-1204,-1162,-2,1024,862,-424,1,2189,2189,2189,2803,2668,2462,2390
50,49,7,4,8,Carbon County,Utah,20422,20422,20374,19772,19837,19882,19689,84,288,302,313,298,53,176,187,184,208,0,13,13,13,13,-78,-732,-59,-94,-295,-1,5,-4,-3,-1,536,536,536,519,468,522,496
50,49,9,4,8,Daggett County,Utah,921,921,929,923,900,901,926,2,14,11,9,10,0,2,7,3,4,0,2,2,1,2,6,-20,-30,-4,16,0,0,1,-2,1,78,78,78,78,78,78,78
50,49,11,4,8,Davis County,Utah,238994,238994,240306,244270,249235,255308,261208,1268,4843,4976,5062,5091,265,1100,1197,1229,1236,126,294,319,307,295,164,7,903,1969,1731,19,-80,-36,-36,19,3481,3481,3481,3218,3346,3388,3443
50,49,13,4,8,Duchesne County,Utah,14371,14371,14379,14568,14859,14911,15004,69,282,282,320,318,28,103,117,121,135,0,9,9,9,9,-33,7,119,-153,-102,0,-6,-2,-3,3,210,210,210,210,210,210,210
50,49,15,4,8,Emery County,Utah,10860,10965,10955,10757,10711,10756,10723,47,164,164,158,148,16,64,81,79,80,0,11,11,11,11,-40,-309,-138,-44,-112,-1,0,-2,-1,0,93,93,93,93,93,93,93
50,49,17,4,8,Garfield County,Utah,4735,4735,4750,4692,4610,4546,4427,11,65,71,67,58,9,46,45,47,45,0,0,0,0,0,13,-75,-108,-83,-130,0,-2,0,-1,-2,128,128,128,128,128,128,128
